Name,City,Region,Notes,Parent Organization,Technology Focus,Diversity Focus,Twitter,URL,organization_logo
6° Webinar Cloud Girls,,Brazil,,,General Technology,Women in Tech,,,
Atlanta Latinas in Tech,"Atlanta, Georgia",AMER-East,,Latinas in Tech,General Technology,"Latinx,Women in Tech",,https://www.latinasintech.org/chapter/atlanta,https://www.latinasintech.org/wp-content/uploads/2019/11/Logo_LiT-1.png
Austin Latinas in Tech,"Austin, Texas",AMER-C-South,,Latinas in Tech,General Technology,"Latinx,Women in Tech",,https://www.latinasintech.org/chapter/austin,https://www.latinasintech.org/wp-content/uploads/2019/11/Logo_LiT-1.png
BDPA DC,"Washington, DC",AMER-East,,Black Data Processing Association,General Technology,BIPOC,@bdpadc,https://bdpadc.org,https://bdpa.org/wp-content/uploads/2020/07/bdpa_logo_medium.png
BDPA Indianapolis,"Indianapolis, Indiana",AMER-C-North,,Black Data Processing Association,General Technology,BIPOC,@BDPA_INDY,http://www.bdpa-indy.org,https://bdpa.org/wp-content/uploads/2020/07/bdpa_logo_medium.png
BDPA Twin Cities,"Minneapolis, Minnesota",AMER-C-North,,Black Data Processing Association,General Technology,BIPOC,@BDPATwinCities,http://BDPATC.ORG,https://bdpa.org/wp-content/uploads/2020/07/bdpa_logo_medium.png
Black Girls Code - Bay Area,"San Francisco, California",AMER - West,,Black Girls Code,"General Technology,Youth Education","Women in Tech,BIPOC",,,https://www.blackgirlscode.com/uploads/1/5/8/2/15823664/published/1320916358.png?1485809428
Black Girls Code - Boston,"Boston, Massachusetts",AMER-East,,Black Girls Code,"General Technology,Youth Education","Women in Tech,BIPOC",,,https://www.blackgirlscode.com/uploads/1/5/8/2/15823664/published/1320916358.png?1485809428
Black Girls Code - Dallas,"Dallas, Texas",AMER-C-South,,Black Girls Code,"General Technology,Youth Education","Women in Tech,BIPOC",,,https://www.blackgirlscode.com/uploads/1/5/8/2/15823664/published/1320916358.png?1485809428
Black Girls Code - Houston,"Houston, Texas",AMER-C-South,,Black Girls Code,"General Technology,Youth Education","Women in Tech,BIPOC",,https://womakerscode.org/home,https://www.blackgirlscode.com/uploads/1/5/8/2/15823664/published/1320916358.png?1485809428
Black Girls Code - Seattle,"Seattle, Washington",AMER - West,,Black Girls Code,"General Technology,Youth Education","Women in Tech,BIPOC",,,https://www.blackgirlscode.com/uploads/1/5/8/2/15823664/published/1320916358.png?1485809428
"Black Girls Code - Washington, DC","Washington, DC",AMER-East,,Black Girls Code,"General Technology,Youth Education","Women in Tech,BIPOC",,,https://www.blackgirlscode.com/uploads/1/5/8/2/15823664/published/1320916358.png?1485809428
Blacks In Tech - SD,"San Diego, California",AMER - West,,Blacks in Tech,General Technology,BIPOC,@BiT_SanDiego,,https://pbs.twimg.com/profile_images/701958990343745536/fXs6qY9t_400x400.jpg
Blacks In Technology NYC,"New York City, New York",AMER-East,,Blacks in Tech,General Technology,BIPOC,@BlacksInTechNYC,https://www.bitnyc.org,https://pbs.twimg.com/profile_images/701958990343745536/fXs6qY9t_400x400.jpg
Blerd - Black Nerds in Colorado,"Denver, Colorado",AMER - West,"Blerd Colorado is a community of black & brown people who work in tech now or hope to in the future. It's where black nerds (aka ""blerds"") come for personal and professional development, to start something, find support, and make friends. ",,General Technology,BIPOC, ,https://www.meetup.com/blerd-colorado/,https://secure.meetupstatic.com/photos/event/9/a/7/4/600_484779540.jpeg
Boston Latinas in Tech,"Boston, Massachusetts",AMER-East,,Latinas in Tech,General Technology,"Latinx,Women in Tech",,https://www.latinasintech.org/chapter/boston,https://www.latinasintech.org/wp-content/uploads/2019/11/Logo_LiT-1.png
Canada Latinas in Tech,"Toronto, Canada",NASA-Canada-East,,Latinas in Tech,General Technology,"Latinx,Women in Tech",,https://www.latinasintech.org/chapter/canada,https://www.latinasintech.org/wp-content/uploads/2019/11/Logo_LiT-1.png
Chicago Latinas in Tech,"Chicago, Illinoise",AMER-C-North,,Latinas in Tech,General Technology,"Latinx,Women in Tech",,https://www.latinasintech.org/chapter/chicago,https://www.latinasintech.org/wp-content/uploads/2019/11/Logo_LiT-1.png
Dallas Fort-Worth Latinas in Tech,"Dallas, Texas",AMER-C-South,,Latinas in Tech,General Technology,"Latinx,Women in Tech",,https://www.latinasintech.org/chapter/dallas-fort-worth,https://www.latinasintech.org/wp-content/uploads/2019/11/Logo_LiT-1.png
